val loss: 4.151224136352539 Epoch 7 - Top-1 Accuracy: 0.085, Top-5 Accuracy: 0.275
val loss: 3.7722764015197754 Epoch 8 - Top-1 Accuracy: 0.125, Top-5 Accuracy: 0.405
val loss: 3.311649799346924 Epoch 9 - Top-1 Accuracy: 0.185, Top-5 Accuracy: 0.525
val loss: 2.852879524230957 Epoch 10 - Top-1 Accuracy: 0.295, Top-5 Accuracy: 0.605
val loss: 2.4713516235351562 Epoch 11 - Top-1 Accuracy: 0.33, Top-5 Accuracy: 0.68
val loss: 2.2245571613311768 Epoch 12 - Top-1 Accuracy: 0.43, Top-5 Accuracy: 0.7
val loss: 2.0764737129211426 Epoch 13 - Top-1 Accuracy: 0.435, Top-5 Accuracy: 0.745
val loss: 1.9592355489730835 Epoch 14 - Top-1 Accuracy: 0.505, Top-5 Accuracy: 0.745
val loss: 1.9241268634796143 Epoch 15 - Top-1 Accuracy: 0.52, Top-5 Accuracy: 0.765
val loss: 1.831623911857605 Epoch 16 - Top-1 Accuracy: 0.53, Top-5 Accuracy: 0.795
val loss: 1.797814130783081 Epoch 17 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.795
val loss: 1.7575397491455078 Epoch 18 - Top-1 Accuracy: 0.53, Top-5 Accuracy: 0.805
val loss: 1.7395775318145752 Epoch 19 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.8
val loss: 1.7201124429702759 Epoch 20 - Top-1 Accuracy: 0.56, Top-5 Accuracy: 0.82
val loss: 1.6894086599349976 Epoch 21 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.835
val loss: 1.7077981233596802 Epoch 22 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.805
val loss: 1.6960784196853638 Epoch 23 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.81
val loss: 1.6992661952972412 Epoch 24 - Top-1 Accuracy: 0.555, Top-5 Accuracy: 0.805
val loss: 1.6955761909484863 Epoch 25 - Top-1 Accuracy: 0.54, Top-5 Accuracy: 0.82
val loss: 1.7082386016845703 Epoch 26 - Top-1 Accuracy: 0.535, Top-5 Accuracy: 0.8
val loss: 1.7072798013687134 Epoch 27 - Top-1 Accuracy: 0.55, Top-5 Accuracy: 0.82
val loss: 1.698708176612854 Epoch 28 - Top-1 Accuracy: 0.545, Top-5 Accuracy: 0.82
val loss: 1.6735042333602905 Epoch 29 - Top-1 Accuracy: 0.565, Top-5 Accuracy: 0.815
val loss: 1.6731224060058594 Epoch 30 - Top-1 Accuracy: 0.56, Top-5 Accuracy: 0.83
val loss: 1.6719059944152832 Epoch 31 - Top-1 Accuracy: 0.56, Top-5 Accuracy: 0.815
